showRange,movieNm,movieCd,rank,movieId
20190204~20190210,러브 유어셀프 인 서울,20185124,8,158
20190204~20190210,그린 북,20184574,9,135
20190204~20190210,가버나움,20184896,10,159
20190128~20190203,극한직업,20182530,1,137
20190128~20190203,뺑반,20180868,2,153
20190128~20190203,드래곤 길들이기 3,20186261,3,146
20190128~20190203,극장판 헬로카봇: 옴파로스 섬의 비밀,20185478,4,155
20190128~20190203,말모이,20184105,5,157
20190128~20190203,러브 유어셀프 인 서울,20185124,6,158
20190128~20190203,내안의 그놈,20176251,7,160
20190128~20190203,가버나움,20184896,8,159
20190128~20190203,그린 북,20184574,9,135
20190128~20190203,주먹왕 랄프 2: 인터넷 속으로,20189463,10,161
20190121~20190127,극한직업,20182530,1,137
20190121~20190127,말모이,20184105,2,157
20190121~20190127,내안의 그놈,20176251,3,160
20190121~20190127,러브 유어셀프 인 서울,20185124,4,158
20190121~20190127,주먹왕 랄프 2: 인터넷 속으로,20189463,5,161
20190121~20190127,글래스,20182544,6,162
20190121~20190127,언더독,20186324,7,163
20190121~20190127,보헤미안 랩소디,20185485,8,164
20190121~20190127,그린 북,20184574,9,135
20190121~20190127,몬스터 파크,20189385,10,165
20190114~20190120,말모이,20184105,1,157
20190114~20190120,내안의 그놈,20176251,2,160
20190114~20190120,글래스,20182544,3,162
20190114~20190120,주먹왕 랄프 2: 인터넷 속으로,20189463,4,161
20190114~20190120,언더독,20186324,5,163
20190114~20190120,아쿠아맨,20180290,6,166
20190114~20190120,극장판 공룡메카드: 타이니소어의 섬,20183915,7,167
20190114~20190120,보헤미안 랩소디,20185485,8,164
20190114~20190120,미래의 미라이,20182588,9,168
20190114~20190120,그린 북,20184574,10,135
20190107~20190113,말모이,20184105,1,157
20190107~20190113,내안의 그놈,20176251,2,160
20190107~20190113,주먹왕 랄프 2: 인터넷 속으로,20189463,3,161
20190107~20190113,아쿠아맨,20180290,4,166
20190107~20190113,극장판 공룡메카드: 타이니소어의 섬,20183915,5,167
20190107~20190113,보헤미안 랩소디,20185485,6,164
20190107~20190113,그린 북,20184574,7,135
20190107~20190113,범블비,20186281,8,169
20190107~20190113,PMC: 더 벙커,20170658,9,170
20190107~20190113,스윙키즈,20175547,10,171
20181231~20190106,아쿠아맨,20180290,1,166
20181231~20190106,주먹왕 랄프 2: 인터넷 속으로,20189463,2,161
20181231~20190106,PMC: 더 벙커,20170658,3,170
20181231~20190106,보헤미안 랩소디,20185485,4,164
20181231~20190106,범블비,20186281,5,169
20181231~20190106,스윙키즈,20175547,6,171
20181231~20190106,점박이 한반도의 공룡2 : 새로운 낙원,20183785,7,172
20181231~20190106,언니,20184187,8,173
20181231~20190106,말모이,20184105,9,157
20181231~20190106,그린치,20182421,10,174
20181224~20181230,아쿠아맨,20180290,1,166
20181224~20181230,범블비,20186281,2,169
20181224~20181230,PMC: 더 벙커,20170658,3,170
20181224~20181230,보헤미안 랩소디,20185485,4,164
20181224~20181230,마약왕,20168773,5,175
20181224~20181230,스윙키즈,20175547,6,171
20181224~20181230,점박이 한반도의 공룡2 : 새로운 낙원,20183785,7,172
20181224~20181230,그린치,20182421,8,174
20181224~20181230,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,20183479,9,176
20181224~20181230,스파이더맨: 뉴 유니버스,20183238,10,177
20181217~20181223,아쿠아맨,20180290,1,166
20181217~20181223,마약왕,20168773,2,175
