showRange,movieNm,rank,movieCd,openDt,audiAcc
20190610~20190616,로켓맨,8,20198291,2019-06-05,98703
20190610~20190616,세상을 바꾼 변호인,9,20190466,2019-06-13,17105
20190610~20190616,어벤져스: 엔드게임,10,20184889,2019-04-24,13887813
20190603~20190609,기생충,1,20183782,2019-05-30,7022120
20190603~20190609,알라딘,2,20183867,2019-05-23,3899540
20190603~20190609,엑스맨: 다크 피닉스,3,20182387,2019-06-05,737179
20190603~20190609,이웃집 토토로,4,19880001,2001-07-28,101213
20190603~20190609,로켓맨,5,20198291,2019-06-05,72451
20190603~20190609,악인전,6,20188941,2019-05-15,3346654
20190603~20190609,고질라: 킹 오브 몬스터,7,20184865,2019-05-29,352862
20190603~20190609,빅샤크2: 해저2만리,8,20199063,2019-06-06,44189
20190603~20190609,어벤져스: 엔드게임,9,20184889,2019-04-24,13875330
20190603~20190609,0.0MHz,10,20188144,2019-05-29,133522
20190527~20190602,기생충,1,20183782,2019-05-30,3367064
20190527~20190602,알라딘,2,20183867,2019-05-23,2149999
20190527~20190602,악인전,3,20188941,2019-05-15,3280862
20190527~20190602,고질라: 킹 오브 몬스터,4,20184865,2019-05-29,301152
20190527~20190602,0.0MHz,5,20188144,2019-05-29,107081
20190527~20190602,어벤져스: 엔드게임,6,20184889,2019-04-24,13843909
20190527~20190602,걸캅스,7,20184082,2019-05-09,1618601
20190527~20190602,어린 의뢰인,8,20199448,2019-05-22,193949
20190527~20190602,교회오빠,9,20198597,2019-05-16,65399
20190527~20190602,더 보이,10,20199822,2019-05-23,88511
20190520~20190526,악인전,1,20188941,2019-05-15,2761916
20190520~20190526,알라딘,2,20183867,2019-05-23,874017
20190520~20190526,걸캅스,3,20184082,2019-05-09,1538165
20190520~20190526,어벤져스: 엔드게임,4,20184889,2019-04-24,13749016
20190520~20190526,어린 의뢰인,5,20199448,2019-05-22,150068
20190520~20190526,배심원들,6,20187981,2019-05-15,270270
20190520~20190526,더 보이,7,20199822,2019-05-23,71610
20190520~20190526,명탐정 피카츄,8,20198598,2019-05-09,680420
20190520~20190526,나의 특별한 형제,9,20185784,2019-05-01,1462434
20190520~20190526,교회오빠,10,20198597,2019-05-16,47936
20190513~20190519,악인전,1,20188941,2019-05-15,1480292
20190513~20190519,어벤져스: 엔드게임,2,20184889,2019-04-24,13453640
20190513~20190519,걸캅스,3,20184082,2019-05-09,1227825
20190513~20190519,명탐정 피카츄,4,20198598,2019-05-09,635128
20190513~20190519,배심원들,5,20187981,2019-05-15,192178
20190513~20190519,나의 특별한 형제,6,20185784,2019-05-01,1430791
20190513~20190519,뽀로로 극장판 보물섬 대모험,7,20198183,2019-04-25,752508
20190513~20190519,호텔 뭄바이,8,20185384,2019-05-08,61163
20190513~20190519,교회오빠,9,20198597,2019-05-16,21806
20190513~20190519,서스페리아,10,20197503,2019-05-16,19684
20190506~20190512,어벤져스: 엔드게임,1,20184889,2019-04-24,12799532
20190506~20190512,나의 특별한 형제,2,20185784,2019-05-01,1275403
20190506~20190512,걸캅스,3,20184082,2019-05-09,591968
20190506~20190512,명탐정 피카츄,4,20198598,2019-05-09,453858
20190506~20190512,뽀로로 극장판 보물섬 대모험,5,20198183,2019-04-25,721423
20190506~20190512,호텔 뭄바이,6,20185384,2019-05-08,37029
20190506~20190512,악인전,7,20188941,2019-05-15,20994
20190506~20190512,배심원들,8,20187981,2019-05-15,23716
20190506~20190512,어글리 돌,9,20197147,2019-05-01,50816
20190506~20190512,안도 타다오,10,20169323,2019-04-25,25540
20190429~20190505,어벤져스: 엔드게임,1,20184889,2019-04-24,10952315
20190429~20190505,나의 특별한 형제,2,20185784,2019-05-01,660849
20190429~20190505,뽀로로 극장판 보물섬 대모험,3,20198183,2019-04-25,580290
20190429~20190505,명탐정 피카츄,4,20198598,2019-05-09,119716
20190429~20190505,어글리 돌,5,20197147,2019-05-01,37541
20190429~20190505,생일,6,20183096,2019-04-03,1191113
20190429~20190505,캡틴 마블,7,20181877,2019-03-06,5796057
20190429~20190505,안도 타다오,8,20169323,2019-04-25,18100
20190429~20190505,판의 미로 - 오필리아와 세 개의 열쇠,9,20060347,2006-11-30,482408
20190429~20190505,프렌즈: 둥지탈출,10,20199736,2019-05-01,10180
20190422~20190428,어벤져스: 엔드게임,1,20184889,2019-04-24,6308048
20190422~20190428,뽀로로 극장판 보물섬 대모험,2,20198183,2019-04-25,275016
